,,Message/Text,Real/Fake,Sentiment
,,"*COVID-19*
(COVID is NOW a COMMON FLU)

*👉5D 5D (5 DRUGS for 5 DAYS)*

1. IVERMECTIN 12mg   OD 5 days
2. DOXYCYLINE 100mg BD 5 days
3. ZINC                 50 mg  OD 5 days
4. MONTEK-LC OD 8pm 5 days             
5. DOLO 650mg for Fever >100°F   
*(OD Once a Day) & (BD Twice a Day)*
",Fake,Opinion
,,After announcing 21 days lock down...people hurry to get things,Real,Opinion
,,After 21 days India will beat Corona virus,Fake,Opinion
,,I recommend Aarogya Setu app to fight against COVID19,Real,Opinion
,,Drinking green tea can cure Covid19,Fake,Opinion
,,"Friday 27th August 2020: 832,144 deaths and 24,478,646 novel coronavirus cases have been confirmed or suspected in 188 countries and territories since December 31st 2019.",Real,Fact based
,,"Various media sources have reported that about 8 in 10 people who test positive for COVID-19 have no symptoms. This follows results from the largest cross-sectional survey of the general population being carried out in England. The REACT-1 study has been sending viral testing kits and online questionnaires to over 120,000 people each month.

In May, 0.13% of 121,000 samples tested positive. In June, 0.08% of 160,000 samples tested positive. In both months, 70-80% of those testing positive had no symptoms in the past seven days.

The nasal and throat swabs only tell whether the person is carrying the COVID-19 virus at the time of testing – they cannot inform whether they’ve had it in the past. Although there may be practical difficulties in taking the swab sample, the results suggest that the current prevalence of COVID-19 in the community is very low and appears to be declining. The important thing is that the infection rate continues to fall and we do not experience a resurgence of cases.

Therefore the fact that many people with COVID appear to be asymptomatic and could transmit the infection without knowing it, highlights the need to continue to follow infection control measures.",Real,Fact based
,,"There have now been several global reports of babies born to women infected with SARS-CoV-2, the virus that causes COVID-19. The vast majority of these babies have not tested positive for the virus or experienced any breathing problems.

There have now been a few case reports which appear to show that the infection can pass from the pregnant woman to the unborn baby, across the placenta. In one report from France, a baby was born to a woman who became ill with COVID-19 in late pregnancy. Placenta and newborn samples tested positive for the virus. The baby developed some neurological symptoms three days after birth, but recovered well and was discharged from hospital. In another US report, a pregnant woman with diabetes contracted COVID-19, and again placental samples tested positive. The baby tested positive for the virus 1-2 days after birth and showed mild breathing problems but made a full recovery.

Cases of the virus being passed from pregnant women to their unborn babies appear to be rare. These two cases excluded the possibility of transfer of the virus after birth but in other reports, without thorough testing, whether the infection was passed on in the womb or after birth is less clear. Reassuringly, there are no reports of a newborn baby becoming seriously unwell from COVID-19.

 

 

",Real,Fact based
,,"An artificial intelligence (AI) model may be able to rule out COVID-19 infection among people arriving at the hospital, before the results of virus swab tests are ready.

Researchers at Oxford University used data from more than 115,000 hospital visits by adults and five million routine laboratory tests, to ‘train’ an algorithm to predict who had SARS-CoV-2, the virus that causes COVID-19.

They used information which could be gathered within one hour of the patient arriving at the hospital. Routine blood tests and vital signs (such as how fast the patient was breathing) gave the most useful information and this type of information was used to build their algorithm. Testing the algorithm on a further sample of adults attending the hospital suggested it performed well at ruling out COVID-19, although it doesn’t identify everyone who has an infection.

At present, results of swab tests for the virus to confirm COVID-19 can take 24 hours or more to arrive. If hospitals could rule out COVID-19 in some people before test results were available, it could make early treatment (and the need for infection control) more straightforward. The study still needs to be checked by expert reviewers, and further tests of the algorithm in other settings are likely to be needed before it can be more widely used",Real,Fact based
,,"An artificial intelligence (AI) model may be able to rule out COVID-19 infection among people arriving at the hospital, before the results of virus swab tests are ready.

Researchers at Oxford University used data from more than 115,000 hospital visits by adults and five million routine laboratory tests, to ‘train’ an algorithm to predict who had SARS-CoV-2, the virus that causes COVID-19.

They used information which could be gathered within one hour of the patient arriving at the hospital. Routine blood tests and vital signs (such as how fast the patient was breathing) gave the most useful information and this type of information was used to build their algorithm. Testing the algorithm on a further sample of adults attending the hospital suggested it performed well at ruling out COVID-19, although it doesn’t identify everyone who has an infection.

At present, results of swab tests for the virus to confirm COVID-19 can take 24 hours or more to arrive. If hospitals could rule out COVID-19 in some people before test results were available, it could make early treatment (and the need for infection control) more straightforward. The study still needs to be checked by expert reviewers, and further tests of the algorithm in other settings are likely to be needed before it can be more widely used",Real,Fact based
,,"An artificial intelligence (AI) model may be able to rule out COVID-19 infection among people arriving at the hospital, before the results of virus swab tests are ready.

Researchers at Oxford University used data from more than 115,000 hospital visits by adults and five million routine laboratory tests, to ‘train’ an algorithm to predict who had SARS-CoV-2, the virus that causes COVID-19.

They used information which could be gathered within one hour of the patient arriving at the hospital. Routine blood tests and vital signs (such as how fast the patient was breathing) gave the most useful information and this type of information was used to build their algorithm. Testing the algorithm on a further sample of adults attending the hospital suggested it performed well at ruling out COVID-19, although it doesn’t identify everyone who has an infection.

At present, results of swab tests for the virus to confirm COVID-19 can take 24 hours or more to arrive. If hospitals could rule out COVID-19 in some people before test results were available, it could make early treatment (and the need for infection control) more straightforward. The study still needs to be checked by expert reviewers, and further tests of the algorithm in other settings are likely to be needed before it can be more widely used",Real,Fact based
,,"WHO Director-General's opening remarks at the media briefing on COVID-19 - 29 June 2020
29 June 2020
Good morning, good afternoon and good evening.

Tomorrow marks six months since WHO received the first reports of a cluster of cases of pneumonia of unknown cause in China.

The six-month anniversary of the outbreak coincides with reaching 10 million cases and 500,000 deaths. 

This is a moment for all of us to reflect on the progress we have made and the lessons we have learned, and to recommit ourselves to doing everything we can to save lives. 

Six months ago, none of us could have imagined how our world – and our lives – would be thrown into turmoil by this new virus.

The pandemic has brought out the best and the worst of humanity.

All over the world we have seen heartwarming acts of resilience, inventiveness, solidarity and kindness. 

But we have also seen concerning signs of stigma, misinformation and the politicization of the pandemic. 

For the past six months, WHO and our partners have worked relentlessly to support all countries to prepare for and respond to this new virus.

Today, we are publishing an updated and detailed timeline of WHO’s response to the pandemic on our website, so the public can have a look at what happened in the past six months in relation to the response. 

It illustrates the range of WHO’s work to stop transmission and save lives. 

We have worked with researchers, clinicians and other experts to bring together the evolving science and distil it into guidance. 

Millions of health workers have enrolled in courses through our OpenWHO.org online learning platform.

We launched the Solidarity Trial, to find answers fast to which drugs are the most effective.

We launched Solidarity Flights, to ship millions of test kits and tons of personal protective equipment to many countries. 

We launched the Solidarity Response Fund, which has raised more than US$223 million for the response.

Three major innovative solidarity activities.

And we have worked with the European Commission and multiple partners to launch the ACT Accelerator, to ensure that once a vaccine is available, it’s available to everyone – especially those who are at greatest risk.

On Friday we launched the ACT Accelerator Investment Case, which estimates that more than US$31 billion will be needed to accelerate the development, equitable allocation and delivery of vaccines, diagnostics and therapeutics by the end of next year.

Over the weekend, WHO was proud to partner in the “Global Goal: Unite for Our Future” pledging conference, organized by the European Commission and Global Citizen. 

The event mobilized new resources to respond to the COVID-19 pandemic globally, including in support of the ACT Accelerator.

Although a vaccine will be an important long-term tool for controlling COVID-19, there are five priorities that every single country must focus on now, to save lives now.

First, empower communities. Every individual must understand that they are not helpless – there are things everyone should do to protect themselves and others. Your health is in your hands.

That includes physical distancing, hand hygiene, covering coughs, staying home if you feel sick, wearing masks when appropriate, and only sharing information from reliable sources.

You may be in a low-risk category, but the choices you make could be the difference between life and death for someone else. 

Second, suppress transmission. Whether countries have no cases, clusters of cases or community transmission, there are steps all countries can take to suppress the spread of the virus.

Ensure that health workers have access to training and personal protective equipment.

Improve surveillance to find cases.

The single-most important intervention for breaking chains of transmission is not necessarily high-tech and can be carried out by a broad range of professionals. It’s tracing and quarantining contacts.

Many countries actually have used non-health professionals to do contact tracing.

Third, save lives.

Early identification and clinical care saves lives.

Providing oxygen and dexamethasone to people with severe and critical disease saves lives.

And paying special attention to high-risk groups, including elderly people in long-term care facilities, saves lives.

Japan has done this: it has one of the highest populations of elderly people, but its death rate is low, and the reason is what we just said – many countries can do that, they can save lives.

Fourth, accelerate research.

We’ve already learned a lot about this virus, but there’s still a lot we don’t know – and there are still tools we need.

This week we will convene a second meeting to assess progress on research and development and re-evaluate research priorities for the next stage of the pandemic. 

And fifth, political leadership.

As we have said repeatedly, national unity and global solidarity are essential to implementing a comprehensive strategy to suppress transmission, save lives and minimize the social and economic impact of the virus. 

No matter what stage a country is at, these five priorities – if acted on consistently and coherently – can turn the tide.

WHO will continue to do everything in our power to serve countries with science, solidarity and solutions. 

The critical question that all countries will face in the coming months is how to live with this virus. That is the new normal. 

Many countries have implemented unprecedented measures to suppress transmission and save lives.

These measures have been successful in slowing the spread of the virus. But they have not completely stopped it. 

Some countries are now experiencing a resurgence of cases as they start to re-open their economies and societies.

Most people remain susceptible. The virus still has a lot of room to move.

We all want this to be over. We all want to get on with our lives. 

But the hard reality is: this is not even close to being over. 

Although many countries have made some progress, globally the pandemic is actually speeding up.

We’re all in this together, and we’re all in this for the long haul.

We will need even greater stores of resilience, patience, humility and generosity in the months ahead. 

We have already lost so much – but we cannot lose hope. 

This is a time for renewing our commitment to empowering communities, suppressing transmission, saving lives, accelerating research and political and moral leadership.

But it’s also a time for all countries to renew their commitment to universal health coverage as the cornerstone of social and economic development – and to building the safer, fairer, greener, more inclusive world we all want. 

I thank you.

",Real,Fact based
,,"Hydroxychloroquine arm of Solidarity Trial stops
17 June 2020

WHO announced that the hydroxychloroquine (HCQ) arm of the Solidarity Trial to find an effective COVID-19 treatment was being stopped. 

The trial's Executive Group and principal investigators made the decision based on evidence from the Solidarity trial, UK's Recovery trial and a Cochrane review of other evidence on hydroxychloroquine. 

Data from Solidarity (including the French Discovery trial data) and the recently announced results from the UK's Recovery trial both showed that hydroxychloroquine does not result in the reduction of mortality of hospitalised COVID-19 patients, when compared with standard of care. 

Investigators will not randomize further patients to hydroxychloroquine in the Solidarity trial. Patients who have already started hydroxychloroquine but who have not yet finished their course in the trial may complete their course or stop at the discretion of the supervising physician. 

This decision applies only to the conduct of the Solidarity trial and does not apply to the use or evaluation of hydroxychloroquine in pre or post-exposure prophylaxis in patients exposed to COVID-19.",Real,Fact based
,,"WHO welcomes preliminary results about dexamethasone use in treating critically ill COVID-19 patients
16 June 2020

WHO welcomes the initial clinical trial results from the UK that show dexamethasone, a corticosteroid, can be lifesaving for patients who are critically ill with COVID-19. For patients on ventilators, the treatment was shown to reduce mortality by about one third, and for patients requiring only oxygen, mortality was cut by about one fifth, according to preliminary findings shared with WHO. ",Real,Fact based
,,"Cluster of COVID-19 in Beijing, People’s Republic of China
13 June 2020

WHO followed up with Chinese authorities about a cluster of COVID-19 cases in Beijing, People’s Republic of China.

Officials from the National Health Commission and Beijing Health Commission briefed WHO’s China country office, to share details of preliminary investigations ongoing in Beijing.  

WHO offered support and technical assistance, as well as requested further information about the cluster and the investigations underway and planned.",Real,Fact based
